group,variable,country,value,,,
A,v1,Afghanistan,75,,,
A,v2,Albania,295,,,
A,v3,Algeria,3035,,,
A,v4,Andorra,10,,,
A,v5,Angola,50,,,
A,v6,Anguilla,0,,,
A,v7,Antigua and Barbuda,80,,,
A,v8,Argentina,570,,,
A,v9,Armenia,45,,,
A,v10,Aruba,5,,, 
A,v11,Australia,355,,,
A,v12,Austria,295,,,
A,v13,Azerbaijan,210,,,
A,v14,Bahama Islands,790,,,
B,v1,Bahrain,50,,,
B,v2,Bangladesh,6595,,,
B,v3,Barbados,350,,,
B,v4,Belarus,65,,,
B,v5,Belgium,1175,,,
B,v6,Belize,75,,,
B,v7,Benin,450,,,
B,v8,Bermuda,60,,,
B,v9,Bhutan,175,,,
B,v10,Bolivia,205,,,
B,v11,Sin Eustatius And Saba Bonaire,0,,,
B,v12,Bosnia-Herzegovina,70,,,
B,v13,Botswana,40,,,
B,v14,Brazil,8550,,,
C,v1,Brunei,15,,,
C,v2,Bulgaria,75,,,
C,v3,Burkina-Faso,665,,,
C,v4,Burundi,250,,,
C,v5,Cambodia,105,,,
C,v6,Cameroon,1785,,,
C,v7,Cape Verde Islands,--,,,
C,v8,Cayman Islands,5,,,
C,v9,Central African Republic,25,,,
C,v10,Chad,105,,,
C,v11,Chile,1370,,,
C,v12,China,55945,,,
C,v13,Colombia,6845,,,
C,v14,Comoros,20,,,
D,v1,Democratic Republic of the Congo,1675,,,
D,v2,People's Republic of the Congo,205,,,
D,v3,Costa Rica,180,,,
D,v4,Croatia,35,,,
D,v5,Cuba,165,,,
D,v6,Curacao,--,,,
D,v7,Cyprus,25,,,
D,v8,Czech Republic,250,,,
D,v9,Denmark,280,,,
D,v10,Djibouti,40,,,
D,v11,Dominica,55,,,
D,v12,Dominican Republic,525,,,
D,v13,Democratic Republic of East Timor,--,,,
D,v14,Ecuador,1560,,,
E,v1,Egypt,1865,,,
E,v2,El Salvador,265,,,
E,v3,Republic of Equatorial Guinea,10,,,
E,v4,Eritrea,40,,,
E,v5,Estonia,25,,,
E,v6,Ethiopia,310,,,
E,v7,Fiji,30,,,
E,v8,Finland,175,,,
E,v9,France,20035,,,
E,v10,French Guiana,0,,,
E,v11,French Polynesia,35,,,
E,v12,Gabon Republic,130,,,
E,v13,Gambia,105,,,
E,v14,Georgia,20,,,
F,v1,Germany,5165,,,
F,v2,Ghana,1220,,,
F,v3,Greece,185,,,
F,v4,Grenada,50,,,
F,v5,Guadeloupe,0,,,
F,v6,Guatemala,135,,,
F,v7,Republic of Guinea,740,,,
F,v8,Guinea-Bissau,--,,,
