group,variable,country,value
A,v1,Afghanistan,145
A,v2,Albania,250
A,v3,Algeria,3500
A,v4,Andorra,10
A,v5,Angola,55
A,v6,Anguilla,0
A,v7,Antigua and Barbuda,60
A,v8,Argentina,480
A,v9,Armenia,45
A,v10,Aruba,--
A,v11,Australia,295
A,v12,Austria,215
A,v13,Azerbaijan,130
A,v14,Bahama Islands,655
B,v1,Bahrain,35
B,v2,Bangladesh,5325
B,v3,Barbados,260
B,v4,Belarus,50
B,v5,Belgium,705
B,v6,Belize,65
B,v7,Benin,450
B,v8,Bermuda,15
B,v9,Bhutan,230
B,v10,Bolivia,220
B,v11,Sin Eustatius And Saba Bonaire,0
B,v12,Bosnia-Herzegovina,40
B,v13,Botswana,45
B,v14,Brazil,8500
C,v1,Brunei,15
C,v2,Bulgaria,30
C,v3,Burkina-Faso,615
C,v4,Burundi,220
C,v5,Cambodia,110
C,v6,Cameroon,2295
C,v7,Cape Verde Islands,--
C,v8,Cayman Islands,5
C,v9,Central African Republic,25
C,v10,Chad,115
C,v11,Chile,1110
C,v12,China,44610
C,v13,Colombia,8115
C,v14,Comoros,15
D,v1,Democratic Republic of the Congo,1875
D,v2,People's Republic of the Congo,160
D,v3,Costa Rica,170
D,v4,Croatia,35
D,v5,Cuba,140
D,v6,Curacao,0
D,v7,Cyprus,10
D,v8,Czech Republic,145
D,v9,Denmark,130
D,v10,Djibouti,40
D,v11,Dominica,50
D,v12,Dominican Republic,495
D,v13,Democratic Republic of East Timor,--
D,v14,Ecuador,1370
E,v1,Egypt,1395
E,v2,El Salvador,320
E,v3,Republic of Equatorial Guinea,5
E,v4,Eritrea,30
E,v5,Estonia,5
E,v6,Ethiopia,340
E,v7,Fiji,20
E,v8,Finland,105
E,v9,France,15185
E,v10,French Guiana,0
E,v11,French Polynesia,--
E,v12,Gabon Republic,120
E,v13,Gambia,90
E,v14,Georgia,25
F,v1,Germany,4155
F,v2,Ghana,1720
F,v3,Greece,125
F,v4,Grenada,30
F,v5,Guadeloupe,--
F,v6,Guatemala,130
F,v7,Republic of Guinea,950
F,v8,Guinea-Bissau,5
F,v9,Guyana,245
F,v10,Haiti,1165
F,v11,Holy See,0
F,v12,Honduras,305
F,v13,Hong Kong SAR,7920
F,v14,Hungary,95
G,v1,Iceland,35
G,v2,India,157420
G,v3,Indonesia,1400
G,v4,Iran,10775
G,v5,Iraq,175
G,v6,Ireland,215
G,v7,Israel,390
G,v8,Italy,2260
G,v9,Ivory Coast,1725
G,v10,Jamaica,1365
G,v11,Japan,10065
G,v12,Jordan,1345
G,v13,Kazakhstan,395
G,v14,Kenya,1020
H,v1,People's Democratic Republic of Korea,--
H,v2,Republic of Korea,9900
H,v3,Republic of Kosovo,40
H,v4,Kuwait,215
H,v5,Kyrgyzstan,55
H,v6,Laos,15
H,v7,Latvia,25
H,v8,Lebanon,1095
H,v9,Lesotho,--
H,v10,Liberia,25
H,v11,Libya,230
H,v12,Liechtenstein,0
H,v13,Lithuania,25
H,v14,Luxembourg,40
I,v1,Macau SAR,110
I,v2,Macedonia,25
I,v3,Madagascar,345
I,v4,Malawi,35
I,v5,Malaysia,525
I,v6,Republic of Maldives,--
I,v7,Republic of Mali,560
I,v8,Malta,5
I,v9,Republic of the Marshall Islands,--
I,v10,Martinique,0
I,v11,Mauritania,65
I,v12,Mauritius,650
I,v13,Mexico,8725
I,v14,Moldova,35
J,v1,Monaco,--
J,v2,People's Republic of Mongolia,215
J,v3,Montenegro,30
J,v4,Morocco,3370
J,v5,Mozambique,25
J,v6,Myanmar (Burma),305
J,v7,Namibia,20
J,v8,Nepal,4125
J,v9,The Netherlands Antilles,0
J,v10,Netherlands,345
J,v11,New Caledonia,--
J,v12,New Zealand,90
J,v13,Nicaragua,85
